mem_market_tag_sum,member_type,P,手机会员
mem_market_tag_sum,member_type,C,实体卡会员
mem_market_tag_sum,member_type,F,门店福利会员
mem_market_tag_sum,member_type,A,APP录单会员
mem_market_tag_sum,member_type,S,特殊会员
mem_market_tag_sum,wx_binding_status,T,已绑定
mem_market_tag_sum,wx_binding_status,F,已解绑
mk_tag_cons_order,shop_period,58,清晨
mk_tag_cons_order,shop_period,911,上午
mk_tag_cons_order,shop_period,1213,中午
mk_tag_cons_order,shop_period,1416,下午
mk_tag_cons_order,shop_period,1718,傍晚
mk_tag_cons_order,shop_period,1923,午夜
mk_tag_cons_order,shop_period,14,凌晨
mem_market_tag_sum,last_3m_shop_period,58,清晨
mem_market_tag_sum,last_3m_shop_period,911,上午
mem_market_tag_sum,last_3m_shop_period,1213,中午
mem_market_tag_sum,last_3m_shop_period,1416,下午
mem_market_tag_sum,last_3m_shop_period,1718,傍晚
mem_market_tag_sum,last_3m_shop_period,1923,午夜
mem_market_tag_sum,last_3m_shop_period,14,凌晨
