big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name,item_code,item_name
1,鲜果类,104,桃类,10401,北京水蜜桃,103331,A级-富硒桃（中）
1,鲜果类,103,李类,10306,南华李,103340,特级南华李
1,鲜果类,103,李类,10306,南华李,103341,B级-南华李（大）
1,鲜果类,103,李类,10306,南华李,103342,B级-南华李（中）
1,鲜果类,103,李类,10306,南华李,103343,B级-南华李（小）
1,鲜果类,104,桃类,10408,水蜜桃,103350,A级-水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103351,A级-水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103352,A级-水蜜桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103353,水蜜桃C
1,鲜果类,104,桃类,10401,北京水蜜桃,103360,A级-北京水蜜桃（大）
1,鲜果类,104,桃类,10401,北京水蜜桃,103361,A级-北京水蜜桃（中）
1,鲜果类,104,桃类,10401,北京水蜜桃,103362,A级-北京水蜜桃（小）
1,鲜果类,104,桃类,10401,北京水蜜桃,103363,北京水蜜桃C
1,鲜果类,104,桃类,10418,非称重桃类,103365,北京水蜜桃礼盒
1,鲜果类,104,桃类,10415,久宝桃,103371,久宝桃A
1,鲜果类,104,桃类,10415,久宝桃,103372,久宝桃B
1,鲜果类,104,桃类,10415,久宝桃,103373,久宝桃C
1,鲜果类,104,桃类,10414,鹰嘴桃,103381,A级-进口黄金桃
1,鲜果类,104,桃类,10414,鹰嘴桃,103382,B级-进口黄金桃
1,鲜果类,104,桃类,10414,鹰嘴桃,103383,C级-进口黄金桃
1,鲜果类,108,芒果类,10801,鸡蛋芒,103391,A级-鸡蛋芒
1,鲜果类,108,芒果类,10801,鸡蛋芒,103392,B级-鸡蛋芒
1,鲜果类,108,芒果类,10801,鸡蛋芒,103393,C级-鸡蛋芒
1,鲜果类,104,桃类,10409,冬桃,103400,A级-红叶冬桃（大）
1,鲜果类,104,桃类,10409,冬桃,103401,A级-红叶冬桃（中）
1,鲜果类,104,桃类,10409,冬桃,103402,A级-红叶冬桃（小）
1,鲜果类,104,桃类,10402,四川水蜜桃,103410,A级-四川水蜜桃（大）
1,鲜果类,104,桃类,10402,四川水蜜桃,103411,A级-四川水蜜桃（中）
1,鲜果类,104,桃类,10402,四川水蜜桃,103412,A级-四川水蜜桃（小）
1,鲜果类,104,桃类,10402,四川水蜜桃,103413,四川水蜜桃C
1,鲜果类,104,桃类,10418,非称重桃类,103421,盒装水蜜桃
1,鲜果类,104,桃类,10416,雪桃,103431,A级-玉龙雪桃（大）
1,鲜果类,104,桃类,10416,雪桃,103432,A级-玉龙雪桃（中）
1,鲜果类,104,桃类,10416,雪桃,103433,A级-玉龙雪桃（小）
1,鲜果类,104,桃类,10407,毛桃,103441,B级-水晶桃（大）
1,鲜果类,104,桃类,10407,毛桃,103442,B级-水晶桃（中）
1,鲜果类,104,桃类,10407,毛桃,103443,B级-水晶桃（小）
1,鲜果类,104,桃类,10409,冬桃,103451,B级-冬桃（大）
1,鲜果类,104,桃类,10409,冬桃,103452,B级-冬桃（中）
1,鲜果类,104,桃类,10409,冬桃,103453,B级-冬桃（小）
1,鲜果类,104,桃类,10404,蟠桃,103460,A级-蟠桃
1,鲜果类,104,桃类,10404,蟠桃,103461,B级-蟠桃
1,鲜果类,104,桃类,10404,蟠桃,103462,C级-蟠桃
1,鲜果类,104,桃类,10408,水蜜桃,103471,B级-奉化水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103472,B级-奉化水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103473,B级-奉化水蜜桃（小）
1,鲜果类,104,桃类,10407,毛桃,103481,A级-青叶冬桃（大）
1,鲜果类,104,桃类,10407,毛桃,103482,A级-青叶冬桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103490,B级-阳山水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103491,B级-阳山水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103492,B级-阳山水蜜桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103499,B级-阳山水蜜桃礼盒（12粒）
1,鲜果类,104,桃类,10405,黄油桃,103501,A级-黄金蜜桃
1,鲜果类,104,桃类,10412,中华寿桃,103511,B级-中华寿桃（大）
1,鲜果类,104,桃类,10412,中华寿桃,103512,B级-中华寿桃（中）
1,鲜果类,104,桃类,10412,中华寿桃,103513,B级-中华寿桃（小）
1,鲜果类,104,桃类,10418,非称重桃类,103515,盒装中华寿桃
1,鲜果类,104,桃类,10408,水蜜桃,103521,招牌-白金桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103522,招牌-白金桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103523,招牌-白金桃（小）
1,鲜果类,104,桃类,10410,黄金桃,103531,B级-黄桃（大）
1,鲜果类,104,桃类,10410,黄金桃,103532,B级-黄桃（中）
1,鲜果类,104,桃类,10410,黄金桃,103533,B级-黄桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103541,B级-水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103542,B级-水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103543,B级-水蜜桃（小）
1,鲜果类,103,李类,10309,金沙李,103551,金沙李A
1,鲜果类,103,李类,10329,进口血丝李,103561,A级-进口血丝李
1,鲜果类,103,李类,10329,进口血丝李,103562,B级-进口血丝李
1,鲜果类,103,李类,10329,进口血丝李,103563,C级-进口血丝李
1,鲜果类,103,李类,10329,进口血丝李,103566,进口血丝李(个)
1,鲜果类,104,桃类,10408,水蜜桃,103571,A级-燕红桃
1,鲜果类,104,桃类,10408,水蜜桃,103572,B级-燕红桃
1,鲜果类,104,桃类,10408,水蜜桃,103573,C级-燕红桃
1,鲜果类,104,桃类,10410,黄金桃,103581,A级-黄金油桃（大）
1,鲜果类,104,桃类,10410,黄金桃,103582,A级-黄金油桃（中）
1,鲜果类,104,桃类,10410,黄金桃,103583,A级-黄金油桃（小）
1,鲜果类,104,桃类,10404,蟠桃,103591,B级-油蟠桃（中）
1,鲜果类,104,桃类,10406,红心桃,103600,A级-红心桃
1,鲜果类,104,桃类,10406,红心桃,103601,B级-红心桃
1,鲜果类,104,桃类,10406,红心桃,103602,C级-红心桃
1,鲜果类,104,桃类,10410,黄金桃,103611,B级-黄金油桃（大）
1,鲜果类,104,桃类,10410,黄金桃,103612,B级-黄金油桃（中）
1,鲜果类,104,桃类,10414,鹰嘴桃,103613,B级-黄金油桃（小）
1,鲜果类,104,桃类,10410,黄金桃,103621,B级-黄金桃（大）
1,鲜果类,104,桃类,10410,黄金桃,103622,B级-黄金桃（中）
1,鲜果类,104,桃类,10410,黄金桃,103623,B级-黄金桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103631,B级-陕西水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103632,B级-陕西水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103633,B级-陕西水蜜桃（小）
1,鲜果类,104,桃类,10414,鹰嘴桃,103640,特级黄金桃
1,鲜果类,104,桃类,10410,黄金桃,103641,招牌-黄金桃
1,鲜果类,104,桃类,10410,黄金桃,103642,A级-黄桃
1,鲜果类,104,桃类,10414,鹰嘴桃,103643,黄金桃C
1,鲜果类,104,桃类,10411,朝鲜义州香桃,103651,招牌-朝鲜义州香桃
1,鲜果类,104,桃类,10411,朝鲜义州香桃,103652,B级-朝鲜义州香桃
1,鲜果类,104,桃类,10411,朝鲜义州香桃,103653,朝鲜义州香桃C
1,鲜果类,104,桃类,10408,水蜜桃,103661,A级-奉化水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103662,A级-奉化水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103663,A级-奉化水蜜桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103665,A级-盒装奉化水蜜桃
1,鲜果类,104,桃类,10417,进口水蜜桃,103671,A级-进口水蜜桃
1,鲜果类,104,桃类,10417,进口水蜜桃,103672,B级-进口水蜜桃
1,鲜果类,104,桃类,10417,进口水蜜桃,103673,C级-进口水蜜桃
1,鲜果类,104,桃类,10416,雪桃,103680,B级-丽江雪桃（大）
1,鲜果类,104,桃类,10416,雪桃,103681,B级-丽江雪桃（中）
1,鲜果类,104,桃类,10416,雪桃,103682,B级-丽江雪桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103691,A级-高山水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103692,A级-高山水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103693,A级-高山水蜜桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103701,A级-红凤凰水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103702,A级-红凤凰水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103703,A级-红凤凰水蜜桃（小）
1,鲜果类,112,杂果类,11201,大樱桃,103710,特级樱桃
1,鲜果类,112,杂果类,11201,大樱桃,103711,B级-樱桃（大）
1,鲜果类,112,杂果类,11201,大樱桃,103712,B级-樱桃（中）
1,鲜果类,112,杂果类,11201,大樱桃,103713,B级-樱桃（小）
1,鲜果类,112,杂果类,11912,非称重杂果类,103715,盒装大樱桃
1,鲜果类,112,杂果类,11201,大樱桃,103721,B级-珍珠樱桃（大）
1,鲜果类,112,杂果类,11201,大樱桃,103722,B级-珍珠樱桃（中）
1,鲜果类,112,杂果类,11201,大樱桃,103723,B级-珍珠樱桃（小）
1,鲜果类,112,杂果类,11201,大樱桃,103725,B级-珍珠樱桃中（盒装）
1,鲜果类,112,杂果类,11201,大樱桃,103731,B级-金樱桃（大）
1,鲜果类,112,杂果类,11201,大樱桃,103732,B级-金樱桃（中）
1,鲜果类,112,杂果类,11201,大樱桃,103733,B级-金樱桃（小）
1,鲜果类,112,杂果类,11201,大樱桃,103741,A级-樱桃（大）
1,鲜果类,112,杂果类,11201,大樱桃,103742,A级-樱桃（中）
