big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name
1,鲜果类,107,葡萄类,10731,葡萄
1,鲜果类,106,荔果类,10613,龙眼
1,鲜果类,112,杂果类,11231,车厘子
1,鲜果类,107,葡萄类,10706,巨峰葡萄
1,鲜果类,112,杂果类,11205,番石榴
1,鲜果类,104,桃类,10402,四川水蜜桃
1,鲜果类,112,杂果类,11919,凤梨
1,鲜果类,110,瓜类,11035,金凤凰哈蜜瓜
1,鲜果类,105,柑桔类,10525,冰糖桔
1,鲜果类,105,柑桔类,10571,马水桔
1,鲜果类,112,杂果类,11270,甲伦榴莲
1,鲜果类,108,芒果类,10820,泰国皇帝芒
1,鲜果类,105,柑桔类,10527,黄柠檬
1,鲜果类,107,葡萄类,10710,珍珠葡萄
1,鲜果类,108,芒果类,10804,进口吕宋芒
1,鲜果类,107,葡萄类,10728,蜜桃香葡萄
1,鲜果类,102,梨类,10227,香梨
2,加工食品类,2,加工食品类,50701,停用-鲜花类
1,鲜果类,103,李类,10334,茵红李
1,鲜果类,112,杂果类,11239,进口大青枣
1,鲜果类,112,杂果类,11273,桑椹
1,鲜果类,110,瓜类,11011,美少女西瓜
1,鲜果类,108,芒果类,10806,腰芒
1,鲜果类,110,瓜类,11056,丰雷瓜
1,鲜果类,110,瓜类,11059,黑珍珠西瓜
1,鲜果类,112,杂果类,11300,长寿枣
1,鲜果类,110,瓜类,11047,日本网纹甜瓜
1,鲜果类,112,杂果类,11293,台湾杨桃
1,鲜果类,103,李类,10315,进口红李
1,鲜果类,110,瓜类,11064,甜王西瓜
1,鲜果类,112,杂果类,11216,红圣女果
1,鲜果类,112,杂果类,11905,核桃（鲜果）
1,鲜果类,108,芒果类,10821,小金黄芒
1,鲜果类,112,杂果类,11203,莲雾
1,鲜果类,105,柑桔类,10581,蜜柑
1,鲜果类,106,荔果类,10625,玉荷苞荔枝
1,鲜果类,110,瓜类,11062,非称重瓜类
